,100 ints,150 ints,200 ints,250 ints,300 ints,350 ints,400 ints,450 ints,550 ints,750 ints,950 ints,1150 ints,1250 ints,1350 ints,1500 ints
insertionSort,0.002,0.002,0.006,0.413,1.598,3.649,3.624,3.611,3.681,3.639,3.606,3.619,3.658,3.654,3.683
mergeSort,0.002,0.002,0.007,0.483,2.336,6.357,6.096,6.441,6.209,6.325,6.308,6.294,6.348,6.146,6.254
heapSort,0.002,0.002,0.002,0.017,0.026,0.038,0.038,0.041,0.036,0.037,0.037,0.036,0.034,0.035,0.039
quickSort,0.002,0.002,0.003,0.01,0.002,0.016,0.016,0.026,0.024,0.021,0.02,0.024,0.016,0.022,0.016
